Symbol,Side,Quantity,Price,Timestamp
AAPL,Buy,61,201.28,2025-06-20T19:59:00.0000000
AAPL,Buy,96,201.28,2025-06-20T19:58:00.0000000
AAPL,Buy,40,201.27,2025-06-20T19:57:00.0000000
AAPL,Sell,83,201.28,2025-06-20T19:56:00.0000000
AAPL,Buy,69,201.26,2025-06-20T19:55:00.0000000
AAPL,Buy,67,201.25,2025-06-20T19:54:00.0000000
AAPL,Sell,76,201.22,2025-06-20T19:53:00.0000000
AAPL,Sell,33,201.22,2025-06-20T19:52:00.0000000
AAPL,Sell,42,201.23,2025-06-20T19:51:00.0000000
AAPL,Buy,63,201.21,2025-06-20T19:50:00.0000000
AAPL,Sell,28,201.22,2025-06-20T19:49:00.0000000
AAPL,Sell,47,201.24,2025-06-20T19:48:00.0000000
AAPL,Sell,67,201.23,2025-06-20T19:47:00.0000000
AAPL,Sell,1,201.29,2025-06-20T19:46:00.0000000
AAPL,Sell,37,201.21,2025-06-20T19:45:00.0000000
AAPL,Buy,91,201.3,2025-06-20T19:44:00.0000000
AAPL,Sell,14,201.25,2025-06-20T19:43:00.0000000
AAPL,Buy,3,201.2,2025-06-20T19:42:00.0000000
AAPL,Sell,45,201.22,2025-06-20T19:41:00.0000000
AAPL,Sell,57,201.3,2025-06-20T19:40:00.0000000
AAPL,Buy,15,201.35,2025-06-20T19:39:00.0000000
AAPL,Buy,21,201.33,2025-06-20T19:38:00.0000000
AAPL,Buy,50,201.33,2025-06-20T19:37:00.0000000
AAPL,Sell,37,201.38,2025-06-20T19:36:00.0000000
AAPL,Sell,35,201.33,2025-06-20T19:35:00.0000000
AAPL,Sell,72,201.33,2025-06-20T19:34:00.0000000
AAPL,Sell,16,201.35,2025-06-20T19:33:00.0000000
AAPL,Buy,37,201.3,2025-06-20T19:32:00.0000000
AAPL,Sell,2,201.37,2025-06-20T19:31:00.0000000
AAPL,Sell,25,201.25,2025-06-20T19:30:00.0000000
AAPL,Sell,27,201.2,2025-06-20T19:29:00.0000000
AAPL,Sell,80,201.15,2025-06-20T19:28:00.0000000
AAPL,Buy,34,201.15,2025-06-20T19:27:00.0000000
AAPL,Buy,83,201.15,2025-06-20T19:26:00.0000000
AAPL,Buy,66,201.25,2025-06-20T19:25:00.0000000
AAPL,Buy,99,201.3488,2025-06-20T19:24:00.0000000
AAPL,Sell,75,201.32,2025-06-20T19:23:00.0000000
AAPL,Sell,90,201.32,2025-06-20T19:22:00.0000000
AAPL,Sell,72,201.33,2025-06-20T19:21:00.0000000
AAPL,Buy,39,201.35,2025-06-20T19:20:00.0000000
AAPL,Buy,67,201.35,2025-06-20T19:19:00.0000000
AAPL,Buy,3,201.4,2025-06-20T19:18:00.0000000
AAPL,Sell,45,201.42,2025-06-20T19:17:00.0000000
AAPL,Buy,23,201.45,2025-06-20T19:16:00.0000000
AAPL,Sell,37,201.47,2025-06-20T19:15:00.0000000
AAPL,Buy,43,201.55,2025-06-20T19:14:00.0000000
AAPL,Sell,40,201.54,2025-06-20T19:13:00.0000000
AAPL,Sell,73,201.5,2025-06-20T19:12:00.0000000
AAPL,Buy,63,201.5,2025-06-20T19:11:00.0000000
AAPL,Sell,80,201.5,2025-06-20T19:10:00.0000000
AAPL,Buy,24,201.53,2025-06-20T19:09:00.0000000
AAPL,Buy,71,201.56,2025-06-20T19:08:00.0000000
AAPL,Buy,81,201.55,2025-06-20T19:07:00.0000000
AAPL,Sell,20,201.54,2025-06-20T19:06:00.0000000
AAPL,Buy,97,201.58,2025-06-20T19:05:00.0000000
AAPL,Buy,22,201.54,2025-06-20T19:04:00.0000000
AAPL,Sell,7,201.62,2025-06-20T19:03:00.0000000
AAPL,Sell,87,201.68,2025-06-20T19:02:00.0000000
AAPL,Sell,14,201.71,2025-06-20T19:01:00.0000000
AAPL,Buy,49,201.71,2025-06-20T19:00:00.0000000
AAPL,Buy,75,201.71,2025-06-20T18:59:00.0000000
AAPL,Buy,84,201.7,2025-06-20T18:58:00.0000000
AAPL,Sell,16,201.7,2025-06-20T18:57:00.0000000
AAPL,Buy,99,201.71,2025-06-20T18:56:00.0000000
AAPL,Buy,22,201.7,2025-06-20T18:55:00.0000000
AAPL,Sell,19,201.7001,2025-06-20T18:54:00.0000000
